"V1","V2","V3","V4"
338.82,12,1,1
332.77,3,1,1
332.77,1,2,1
321.738,1,2,1
305.19,1,2,1
294.158,1,2,1
283.126,1,2,1
244.514,1,2,1
205.368,1,2,1
194.336,1,2,1
188.82,1,2,1
172.272,1,2,1
166.756,1,2,1
161.24,2,2,1
149.674,3,2,1
144.158,1,2,1
138.642,1,2,1
133.126,1,2,1
127.61,2,2,1
116.044,1,2,1
110.528,2,2,1
105.012,1,2,1
98.9620000000002,3,2,1
93.4460000000002,4,2,1
87.9300000000002,3,2,1
81.8800000000002,2,2,1
76.3640000000001,4,2,1
70.314,1,2,1
64.798,5,2,1
58.748,3,2,1
53.232,2,2,1
47.182,6,2,1
41.132,5,2,1
35.082,7,2,1
29.032,3,2,1
22.982,6,2,1
22.448,5,2,1
21.914,8,2,1
21.38,8,2,1
20.846,11,2,1
20.312,8,2,1
19.778,8,2,1
19.244,6,2,1
18.71,6,2,1
18.176,9,2,1
17.642,5,2,1
17.108,12,2,1
16.574,8,2,1
16.04,11,2,1
15.506,7,2,1
14.972,11,2,1
14.438,10,2,1
13.904,8,2,1
13.37,10,2,1
12.836,11,2,1
12.302,14,2,1
11.768,9,2,1
11.234,10,2,1
10.7,13,2,1
10.166,9,2,1
9.632,12,2,1
9.098,12,2,1
8.564,16,2,1
8.03,12,2,1
7.496,17,2,1
6.962,15,2,1
6.428,16,2,1
5.894,12,2,1
5.36,19,2,1
4.826,11,2,1
4.292,14,2,1
3.758,16,2,1
3.224,16,2,1
2.69,20,2,1
2.156,19,2,1
1.622,19,2,1
1.088,19,2,1
0.554,19,2,1
0.02,20,2,1
1173.72,1,1,2
1124.076,1,1,2
886.353999999997,1,1,2
576.923999999999,1,1,2
427.991999999999,1,2,2
344.717999999999,1,2,2
139.734,1,2,2
133.684,1,2,2
128.168,1,2,2
113.398,1,2,2
112.864,1,2,2
104.144,1,2,2
96.4920000000001,1,2,2
82.2560000000001,1,2,2
81.1880000000001,1,2,2
80.1200000000001,1,2,2
78.5180000000001,1,2,2
77.4500000000001,1,2,2
76.3820000000001,1,2,2
75.8480000000001,3,2,2
73.178,1,2,2
72.11,1,2,2
71.042,1,2,2
70.508,1,2,2
68.372,1,2,2
67.304,1,2,2
66.77,1,2,2
66.2359999999999,1,2,2
65.1679999999999,1,2,2
64.6339999999999,3,2,2
64.0999999999999,1,2,2
63.5659999999999,1,2,2
63.0319999999999,3,2,2
61.9639999999999,1,2,2
61.4299999999999,2,2,2
60.8959999999999,2,2,2
60.3619999999999,1,2,2
59.8279999999999,2,2,2
59.2939999999999,2,2,2
58.7599999999999,3,2,2
56.6239999999999,3,2,2
56.0899999999999,2,2,2
55.5559999999999,2,2,2
55.0219999999999,3,2,2
54.4879999999999,2,2,2
53.9539999999999,1,2,2
53.4199999999999,3,2,2
52.3519999999999,1,2,2
51.2839999999999,1,2,2
50.7499999999999,3,2,2
50.2159999999999,1,2,2
49.6819999999999,2,2,2
49.1479999999999,1,2,2
48.6139999999999,1,2,2
48.0799999999999,4,2,2
47.5459999999999,3,2,2
47.012,1,2,2
46.478,1,2,2
45.944,5,2,2
45.41,3,2,2
44.876,2,2,2
44.342,4,2,2
43.274,2,2,2
42.74,5,2,2
42.206,4,2,2
41.672,1,2,2
41.138,2,2,2
40.604,2,2,2
40.07,3,2,2
39.536,5,2,2
39.002,4,2,2
38.468,3,2,2
37.934,2,2,2
37.4,6,2,2
36.866,4,2,2
36.332,3,2,2
35.798,3,2,2
35.264,3,2,2
34.73,4,2,2
34.196,2,2,2
33.662,3,2,2
32.594,4,2,2
32.06,4,2,2
31.526,5,2,2
30.992,5,2,2
30.458,1,2,2
29.924,7,2,2
29.39,5,2,2
28.856,5,2,2
28.322,3,2,2
27.788,8,2,2
27.254,8,2,2
26.72,7,2,2
26.186,8,2,2
25.652,8,2,2
25.118,3,2,2
24.584,9,2,2
24.05,5,2,2
23.516,8,2,2
22.982,7,2,2
22.448,6,2,2
21.914,11,2,2
21.38,8,2,2
20.846,9,2,2
20.312,5,2,2
19.778,8,2,2
19.244,11,2,2
18.71,13,2,2
18.176,8,2,2
17.642,8,2,2
17.108,8,2,2
16.574,9,2,2
16.04,10,2,2
15.506,9,2,2
14.972,6,2,2
14.438,10,2,2
13.904,12,2,2
13.37,7,2,2
12.836,8,2,2
12.302,13,2,2
11.768,7,2,2
11.234,14,2,2
10.7,12,2,2
10.166,16,2,2
9.632,7,2,2
9.098,11,2,2
8.564,13,2,2
8.03,14,2,2
7.496,15,2,2
6.962,15,2,2
6.428,14,2,2
5.894,18,2,2
5.36,12,2,2
4.826,15,2,2
4.292,17,2,2
3.758,18,2,2
3.224,15,2,2
2.69,19,2,2
2.156,19,2,2
1.622,20,2,2
1.088,20,2,2
0.554,20,2,2
0.02,20,2,2
375.12,10,1,3
369.07,2,1,3
363.554,1,1,3
313.91,1,1,3
275.298,1,2,3
253.234,1,2,3
247.718,1,2,3
236.686,1,2,3
231.17,1,2,3
197.54,1,2,3
180.992,2,2,3
175.476,1,2,3
169.96,2,2,3
152.878,1,2,3
141.846,1,2,3
136.33,1,2,3
119.248,1,2,3
113.732,2,2,3
108.216,1,2,3
102.166,1,2,3
96.6500000000003,3,2,3
91.1340000000003,1,2,3
85.0840000000002,2,2,3
79.5680000000002,2,2,3
73.5180000000001,5,2,3
68.002,1,2,3
61.9519999999999,9,2,3
55.902,6,2,3
44.3359999999999,4,2,3
38.286,7,2,3
32.236,10,2,3
26.186,8,2,3
25.652,9,2,3
25.118,7,2,3
24.584,7,2,3
24.05,6,2,3
23.516,5,2,3
22.982,6,2,3
22.448,8,2,3
21.914,8,2,3
21.38,7,2,3
20.846,8,2,3
20.312,9,2,3
19.778,10,2,3
19.244,10,2,3
18.71,5,2,3
18.176,10,2,3
17.642,10,2,3
17.108,9,2,3
16.574,8,2,3
16.04,10,2,3
15.506,9,2,3
14.972,7,2,3
14.438,10,2,3
13.904,11,2,3
13.37,10,2,3
12.836,10,2,3
12.302,11,2,3
11.768,6,2,3
11.234,13,2,3
10.7,16,2,3
10.166,13,2,3
9.632,14,2,3
9.098,19,2,3
8.564,14,2,3
8.03,16,2,3
7.496,16,2,3
6.962,14,2,3
6.428,16,2,3
5.894,17,2,3
5.36,17,2,3
4.826,16,2,3
4.292,18,2,3
3.758,19,2,3
3.224,18,2,3
2.69,18,2,3
2.156,17,2,3
1.622,20,2,3
1.088,20,2,3
0.554,18,2,3
0.02,20,2,3
187.57,13,1,4
181.52,14,1,4
175.47,7,1,4
175.47,2,2,4
169.954,2,2,4
164.438,1,2,4
158.922,2,2,4
153.406,2,2,4
141.84,3,2,4
136.324,2,2,4
130.808,3,2,4
125.292,2,2,4
119.776,3,2,4
114.26,2,2,4
108.21,3,2,4
102.694,5,2,4
97.1780000000001,3,2,4
91.6620000000001,6,2,4
85.6120000000001,2,2,4
80.0960000000001,8,2,4
74.5800000000001,2,2,4
68.53,4,2,4
63.014,5,2,4
56.964,8,2,4
51.448,7,2,4
45.398,10,2,4
39.348,9,2,4
33.832,4,2,4
27.782,14,2,4
21.732,12,2,4
15.682,12,2,4
9.632,12,2,4
9.098,14,2,4
8.564,14,2,4
8.03,12,2,4
7.496,14,2,4
6.962,13,2,4
6.428,16,2,4
5.894,18,2,4
5.36,19,2,4
4.826,16,2,4
4.292,17,2,4
3.758,19,2,4
3.224,17,2,4
2.69,15,2,4
2.156,18,2,4
1.622,20,2,4
1.088,20,2,4
0.554,20,2,4
0.02,20,2,4
701.819999999999,5,1,5
657.692,1,1,5
552.888,1,2,5
397.906,1,2,5
287.586,1,2,5
254.489999999999,1,2,5
231.891999999999,1,2,5
220.859999999999,1,2,5
159.65,1,2,5
137.052,2,2,5
119.970000000001,1,2,5
102.354,1,2,5
96.8380000000003,3,2,5
90.7880000000003,2,2,5
85.2720000000002,1,2,5
79.2220000000001,1,2,5
67.1219999999999,2,2,5
61.0719999999999,3,2,5
55.0219999999999,3,2,5
53.9539999999999,2,2,5
53.4199999999999,5,2,5
52.8859999999999,1,2,5
51.8179999999999,1,2,5
51.2839999999999,5,2,5
50.7499999999999,2,2,5
50.2159999999999,1,2,5
49.6819999999999,5,2,5
49.1479999999999,3,2,5
48.0799999999999,4,2,5
47.5459999999999,2,2,5
47.012,3,2,5
46.478,4,2,5
45.944,1,2,5
45.41,2,2,5
44.876,2,2,5
44.342,2,2,5
43.808,1,2,5
43.274,2,2,5
42.74,7,2,5
42.206,2,2,5
41.672,5,2,5
40.604,3,2,5
40.07,1,2,5
39.536,2,2,5
39.002,2,2,5
38.468,1,2,5
37.934,1,2,5
37.4,2,2,5
36.866,2,2,5
36.332,1,2,5
35.798,5,2,5
35.264,4,2,5
34.73,4,2,5
34.196,7,2,5
33.662,6,2,5
33.128,1,2,5
32.594,3,2,5
32.06,6,2,5
31.526,3,2,5
30.992,4,2,5
30.458,5,2,5
29.924,7,2,5
29.39,4,2,5
28.856,7,2,5
28.322,5,2,5
27.788,8,2,5
27.254,4,2,5
26.72,7,2,5
26.186,3,2,5
25.652,6,2,5
25.118,9,2,5
24.584,6,2,5
24.05,8,2,5
23.516,3,2,5
22.982,9,2,5
22.448,5,2,5
21.914,9,2,5
21.38,5,2,5
20.846,6,2,5
20.312,6,2,5
19.778,6,2,5
19.244,5,2,5
18.71,13,2,5
18.176,7,2,5
17.642,7,2,5
17.108,5,2,5
16.574,15,2,5
16.04,6,2,5
15.506,8,2,5
14.972,8,2,5
14.438,9,2,5
13.904,12,2,5
13.37,8,2,5
12.836,10,2,5
12.302,11,2,5
11.768,13,2,5
11.234,13,2,5
10.7,14,2,5
10.166,14,2,5
9.632,11,2,5
9.098,14,2,5
8.564,13,2,5
8.03,12,2,5
7.496,12,2,5
6.962,14,2,5
6.428,17,2,5
5.894,13,2,5
5.36,13,2,5
4.826,13,2,5
4.292,14,2,5
3.758,13,2,5
3.224,18,2,5
2.69,19,2,5
2.156,19,2,5
1.622,20,2,5
1.088,20,2,5
0.554,18,2,5
0.02,20,2,5
986.169999999997,1,1,6
980.119999999997,1,1,6
842.219999999998,1,1,6
649.159999999999,1,1,6
494.178,1,1,6
311.082,1,2,6
266.42,1,2,6
222.292000000001,1,2,6
138.484,1,2,6
126.918000000001,1,2,6
98.2700000000003,1,2,6
76.3820000000001,2,2,6
75.8480000000001,1,2,6
74.246,1,2,6
73.712,3,2,6
67.838,2,2,6
67.304,2,2,6
66.77,1,2,6
65.7019999999999,3,2,6
