"taxonobservation_id","observation_type","scrubbed_family","scrubbed_species_binomial","latitude","longitude","elevation_m","country","state_province","county","locality_description","plot_name","is_new_world","is_geovalid","event_date","date_collected","plot_sampling_protocol","identified_by","datasource","datasource_id","dataset","dataowner","custodial_institution_codes","collection_code","collector","collection_number","is_cultivated","nsr_native_status","nsr_is_introduced",
"31909446","specimen","Bignoniaceae","Chilopsis linearis","","","","","","","","","","","","","","","GBIF","1008","MNHN","MNHN","MNHN","p","","","","","",
"31950022","specimen","Bignoniaceae","Chilopsis linearis","","","","","","","","","","","","","","","GBIF","1008","MNHN","MNHN","MNHN","p","","","","","",
"32467195","specimen","Bignoniaceae","Chilopsis linearis","","","","","","","","","","","","","","","GBIF","1008","MNHN","MNHN","MNHN","p","","","","","",
"38441505","specimen","Bignoniaceae","Chilopsis linearis","33.9166999999999987","-111.716999999999999","732","United States","Arizona","Maricopa","Horseshoe Lake Road. 6.6 mi.. from beginning at Bartlett Lake Rd.","","1","1","","","","","GBIF","397","ASU","ASU","ASU","ASUPlants","L. R. Landrum","","","P","0",
"38466003","specimen","Bignoniaceae","Chilopsis linearis","34.5952359999999999","-112.554040999999998","","United States","Arizona","Yavapai","Yavapai County, Arizona","","1","1","","","","","GBIF","102","USDA NRCS","USDA NRCS","USDA NRCS","USDA Plants","","","","P","0",
"38545995","specimen","Bignoniaceae","Chilopsis linearis","35.1893999999999991","-114.052999999999997","1036","United States","Arizona","Mohave","Kingman. Creek bottom.","","1","1","","1959-05-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","D. Demaree","","","P","0",
"38570345","specimen","Bignoniaceae","Chilopsis linearis","33.740040999999998","-105.455601999999999","","United States","New Mexico","Lincoln","Lincoln County, New Mexico","","1","1","","","","","GBIF","102","USDA NRCS","USDA NRCS","USDA NRCS","USDA Plants","","","","P","0",
"38578864","specimen","Bignoniaceae","Chilopsis linearis","32.7294219999999996","-108.379315000000005","","United States","New Mexico","Grant","Grant County, New Mexico","","1","1","","","","","GBIF","102","USDA NRCS","USDA NRCS","USDA NRCS","USDA Plants","","","","P","0",
"38659367","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Maricopa County","Camp Creek Wash at the crossing with the road from Carefree to Bartlett Res.","","","","","","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Smith, E. M.","","","","",
"38781229","specimen","Bignoniaceae","Chilopsis linearis","32.7668510000000026","-96.7780070000000023","","United States","Texas","Dallas","Dallas County, Texas","","1","1","","","","","GBIF","102","USDA NRCS","USDA NRCS","USDA NRCS","USDA Plants","","","","P","0",
"38785183","specimen","Bignoniaceae","Chilopsis linearis","","","137.159999999999997","United States","California","Riverside County","Palm Springs, Colorado Desert","","1","","","1932-06-05","","","GBIF","1092","CAS","CAS","CAS","DS","E. H. Daniels; J. Bates","","","P","0",
"38840603","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","","Maricopa, corner of Papago and Warner roads, Vekol wash.","","","","","2005-05-15","","","GBIF","397","ASU","ASU","ASU","ASUPlants","L. R. Landrum","","","","",
"38855413","specimen","Bignoniaceae","Chilopsis linearis","33.3591399999999965","-111.736859999999993","385","United States","Arizona","Maricopa","Gilbert, Riparian Preserve at Water Ranch,S edge of Pond # 5 along Porcupine Path. . With: Stephanandra,  Prosopis, Chilopsis, Nicotiana, Opuntia","","1","1","","2008-05-01","","Raúl Gutiérrez","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","Raul Gutierrez","","","P","0",
"38885732","specimen","Bignoniaceae","Chilopsis linearis","31.5465000000000018","-110.275899999999993","","United States","Arizona","Cochise","Near south gate, Fort Huachuca Military Reservation. .","","1","1","","1960-05-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","L.N. Goodding","","","P","0",
"38897311","specimen","Bignoniaceae","Chilopsis linearis","31.3578299999999999","-110.126329999999996","1280","United States","Arizona","Cochise","San Pedro Riparian National Conservation Area, Upper San Pedro floodplain; Palominas site about 2 miles south of Highway 92. riparian, primary floodplain mainly sacaton and burrobush, sandy alluvium. With: Prosopis velutina, Sporobolus wrightii, Sporobolu","","1","1","","2001-06-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","Elizabeth Makings","","","P","0",
"38921482","specimen","Bignoniaceae","Chilopsis linearis","","","","UNITED STATES","Utah","Washington","","","","","","1984-05-26","","","GBIF","1350","USU","USU","USU","UTC","B Neely; J Chambers","","","","",
"38948380","specimen","Bignoniaceae","Chilopsis linearis","33.3426559999999981","-112.490919000000005","","United States","Arizona","Maricopa","Maricopa County, Arizona","","1","1","","","","","GBIF","102","USDA NRCS","USDA NRCS","USDA NRCS","USDA Plants","","","","P","0",
"38999738","specimen","Bignoniaceae","Chilopsis linearis","32.2166700000000006","-111.5","719","United States","Arizona","Pima","Tumamoc Hill. St. Mary's Road near Anklam; T14S R13E S10, SE1/4; elevation 2360 feet.","","1","1","","1990-06-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","R.J. Rondeau","","","P","0",
"39003559","specimen","Bignoniaceae","Chilopsis linearis","33.4147999999999996","-111.909300000000002","","United States","Arizona","Maricopa","Tempe. .","","1","1","","1902-09-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","J.J. Thornber","","","P","0",
"39041008","specimen","Bignoniaceae","Chilopsis linearis","36.2017510000000016","-115.022814999999994","","United States","Nevada","Clark","Clark County, Nevada","","1","1","","","","","GBIF","102","USDA NRCS","USDA NRCS","USDA NRCS","USDA Plants","","","","P","0",
"39045844","specimen","Bignoniaceae","Chilopsis linearis","","","","United States","California","Riverside County","Palm Canon [Canyon] Road to Palm Sps.","","1","","","1928-04-03","","","GBIF","1092","CAS","CAS","CAS","DS","Milo S. Baker","","","P","0",
"39050330","specimen","Bignoniaceae","Chilopsis linearis","34.9472999999999985","-111.753799999999998","","United States","Arizona","Yavapai","Lower Oak Creek. .","","1","1","","1934-06-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","H. J. Fulton","","","P","0",
"39057224","specimen","Bignoniaceae","Chilopsis linearis","33.8001000000000005","-111.734999999999999","838","United States","Arizona","Maricopa","Camp Creek Wash at the crossing with the road from Carefree to Bartlett Res.","","1","1","","","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Smith, E. M.","","","P","0",
"39135900","specimen","Bignoniaceae","Chilopsis linearis","","","914.399999999999977","United States","California","Imperial County","Boulevard - Laguna Mts.","","1","","","1916-07-30","","","GBIF","1092","CAS","CAS","CAS","DS","E. A. McGregor","","","P","0",
"39283600","specimen","Bignoniaceae","Chilopsis linearis","31.3653000000000013","-110.772999999999996","","United States","Arizona","Santa Cruz","Sycamore Canyon","","1","1","","1967-06-08","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Elinor Lehto","","","P","0",
"39293577","specimen","Bignoniaceae","Chilopsis linearis","","","","United States","California","Riverside County","Palm Springs to Palm Canyon","","1","","","1926-03-26","","","GBIF","1092","CAS","CAS","CAS","DS","L. R. Abrams","","","P","0",
"39300517","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Arizona","Gila County","Tonto National Forest; along Cherry Creek just east of Sierra Ancha Wilderness Area","","","","","1991-11-17","","","GBIF","397","ASU","ASU","ASU","ASUPlants","Gregory J. Imdorf","","","","",
"39511873","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","Grant","Harlen Hall, WNMU, Silver City","","","","","2001-08-24","","","GBIF","1382","SNM","SNM","SNM","Herb","L.B. Moseley","","","","",
"39664977","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","Grant","Buckthorn, Hwy 180","","","","","1964-07-03","","","GBIF","1382","SNM","SNM","SNM","Herb","J.P. Hubbard","","","","",
"39674667","specimen","Bignoniaceae","Chilopsis linearis","32.6499999999999986","-108.540000000000006","","United States","New Mexico","Grant","Side creek Bar Six Canyon, FS 841, 2.4 mi W Jct FS 852, Gila Nat'l Forest","","1","1","","1992-06-18","","","GBIF","1382","SNM","SNM","SNM","Herb","C.A. Huff and S.L. Christy","","","P","0",
"39974171","specimen","Bignoniaceae","Chilopsis linearis","35.2070000000000007","-106.484999999999999","","United States","New Mexico","Bernalillo","Sandia Mountains, Canyon de la Cueva.","","1","1","","1999-08-24","","","GBIF","1413","UNM","UNM","UNM","Herb","R.C. Sivinski","","","P","0",
"40031824","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","Valencia","3.2 mi S, 1.5 mi W Los Lunas","","","","","2001-10-13","","","GBIF","1382","SNM","SNM","SNM","Herb","M.T. Hill","","","","",
"53996342","specimen","Bignoniaceae","Chilopsis linearis","","","","","","","","","","","","","","","GBIF","504","OKLA","OKLA","OKLA","s.n.","","","","","",
"54734960","specimen","Bignoniaceae","Chilopsis linearis","","","","","","","","","","","","","","","GBIF","504","OKLA","OKLA","OKLA","1071","","","","","",
"68803152","specimen","Bignoniaceae","Chilopsis linearis","","","","","","","","","","","","","","","GBIF","1008","MNHN","MNHN","MNHN","p","","","","","",
"68838409","specimen","Bignoniaceae","Chilopsis linearis","","","","","","","","","","","","","","","GBIF","1008","MNHN","MNHN","MNHN","p","","","","","",
"81328727","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","Kansas","Comanche","Coldwater, 3.6 mi S, 3 mi E","","","","","","","Craig C Freeman","GBIF","788","KU","KU","KU","KANU","Craig C Freeman","","","","",
"79469130","specimen","Bignoniaceae","Chilopsis linearis","","","","USA","New Mexico","Grant","NM Highway 180, 2 miles west and 4 miles south of Silver City.","","","","","1958-11-28","","J. Henrickson","GBIF","1413","UNM","UNM","UNM","Herb","J. Mohlenrich","","","","",
