subplot,Treat,Treat2,ALLGEY,ANDSEP,AREFEN,ARTSCO,BISBIS,CALPUR,CAMROT,CARRUP,CASOCC,CERARV,DRABA,ERINAN,ERIPIN,FESBRA,GEUROS,HELMOR,HERBWHITE,KOBMYO,LLOSER,LUZSPI,MERLAN,MINOBT,OREALP,PACCAN,PARPUL,PHLOX,POASPP,SAXRHO,SEDLAN,SILENE,TETACA,TETGRA,TONPYG,TRIDAS,TRINAN
1C,C,Cushion,0,0,0,0.68,0.68,5.41,3.38,23.65,0,0,0,2.03,0,5.41,0,0,0,0,13.51,0,0,0,10.14,0,0,0,0,0,0,0,1.35,0,0,16.89,16.89
1N,N,Tundra,0,0,4.31,10.63,0.29,0,15.52,16.09,0,0.29,0,0,0,4.6,0,0,0,0,3.45,0,0,21.55,0.86,0,0,0,0,0,1.44,0,0.29,0,0,20.69,0
1S,S,Tundra,0,0,3.92,2.76,0.46,0,19.35,8.53,0,2.07,0,0,0,2.76,0,0,0,0,1.15,2.3,0,17.28,0.46,0,6.45,0,0,0,4.84,0,0,0,0,27.65,0
2C,C,Cushion,0,0,0,9.78,1.63,18.48,7.61,21.2,0,0,0,0,0,2.17,0,0,0,0,18.48,0,0,0,16.3,0,0,0,0,0,0,0,2.72,0,1.63,0,0
2N,N,Tundra,0,0,4.8,13.24,0.58,1.92,4.99,11.71,0,0,0,0,0,0.58,0,0,0,0,2.5,0,0,6.53,4.61,0,0.96,0.77,1.34,0,3.26,2.88,0.77,0,0,33.21,5.37
2S,S,Tundra,0,0,0,8.11,0.44,0,8.11,13.16,0,0,0,0,0,1.75,0.44,0,0,0,0,2.85,0,5.26,7.68,0,0,0,1.75,0,3.73,5.48,1.1,0,0,40.13,0
3C,C,Cushion,0,0,0,5.88,0,9.41,2.94,10.59,0,0,0,0,0,2.94,8.82,0,0,0,15.29,0,0,0,20.59,0,0,0,0,0,0,0,12.35,0,0,11.18,0
3N,N,Tundra,0,0,0,2.71,0,2.22,9.61,11.82,0,0,0,0,0,1.72,0.99,0,0,0,8.62,0,0,3.45,6.4,0,2.46,0,0,0,0,0,10.59,0.25,0,39.16,0
3S,S,Tundra,0,0,7.5,5.83,0,4.17,8.06,14.44,0,0,0,0,0,1.39,4.72,0,0,0,1.67,0,0.28,6.11,4.72,0,2.5,0,0,0,0,0,7.22,0.28,0,31.11,0
4C,C,Cushion,0,0,0,7.21,0,0,0,13.96,0,0,0,0,0,2.25,3.6,3.6,0,0,12.16,0,1.35,0,13.06,0,0,0,0.9,0,0,0,0,0,25.23,16.67,0
