"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.AREA_cm2","CWM.LDMC","CWM.SLA","CWM.HEIGHT_cm"
"1",12,12,0.243448673401697,1,0.600807215481546,0.625284328967152,1.21559946569384,1.92937215025943,1.54393803239352,0.309575309330604,135.696451397298,3.89145770845831
"4",10,10,0.175448374404802,1,0.704677949342942,0.686912209420725,1.51092548928352,2.57088546400456,2.19255942,0.29109019168266,130.558178771928,5.2478912
"7",10,10,0.142667796183721,1,0.711695129359567,0.73625883359456,1.34651047819076,2.08528429408847,2.14400109010901,0.284344827318362,125.562528228326,4.49123672367237
"10",11,11,0.0893261963641968,1,0.537328024394465,0.741752916516864,0.959234302333389,1.16167911140766,1.57569218921892,0.298718687668437,131.270063600918,3.78180738073807
"13",12,12,0.196813267453058,1,0.415240842821388,0.672243413583247,1.18272339724092,1.88867552335515,1.64936320632063,0.307476071055726,138.688536112605,3.90474527452745
"16",12,12,0.260455546872677,1,0.381671191027959,0.61576252489322,1.34479692133697,2.18653871439049,1.4029638,0.31556617721684,138.213550091727,4.5860292
"19",11,11,0.183159509701294,1,0.564115265006491,0.540813234042811,1.14081926983624,1.6998161675894,1.58339779044191,0.27629205960195,132.925158569326,3.90028834233153
"22",11,11,0.529976753247149,1,0.733095148033813,0.598709247526444,1.79386562987608,4.28160352222269,1.33719968,0.24834293364753,119.823336923515,3.5466444
"25",13,13,0.384689510302623,1,0.710808400069482,0.636922791469824,1.44825675938872,2.74173012973907,1.55392793441312,0.268365787169086,129.751068391292,4.59535092981404
"28",10,10,0.0957125199884994,1,0.535196758660959,0.850979664788298,1.22776389452185,1.70457271865723,1.84914714528547,0.314132512179042,130.216752084338,4.24030156984302
"31",12,12,0.270783375535412,1,0.411642239957345,0.455608397143021,0.955827103992078,1.36933420845745,1.52401722341404,0.281438019897456,124.400506477308,3.603382572275
"34",11,11,0.286128657585438,1,0.566365315012976,0.686836644398963,1.52471313012711,3.41152100828686,1.58219408881776,0.263461326041498,119.67539623324,3.74398679735947
"37",11,11,0.137559330752827,1,0.58913538322337,0.829477491777188,1.322818405728,1.94012522226846,1.5601336,0.3124019974376,131.337451249824,4.280064
"40",11,11,0.170067991053557,1,0.586766947167594,0.667027357516603,1.09409198404275,1.3572184588269,1.90784225,0.26661419640495,131.682268731366,4.3612996
"43",12,12,0.0620874175308705,1,0.486811360603869,0.827502766279369,1.25688106862358,1.78748790733415,1.26248049,0.3135170313227,132.40905930481,3.686108
"46",9,9,0.0256572581864224,1,0.614461967332661,0.705500055504437,0.970917461514414,1.19280787799558,1.43237659442724,0.308615778169525,140.552337532715,3.70854984520124
"49",11,11,0.166643940053229,1,0.555320035251648,0.558291202435398,0.783836766672295,0.891625327894465,1.55940625937406,0.305517225332377,136.75204017316,3.56351164883512
"52",9,9,0.0401967240999486,1,0.530346962899308,0.775378350290076,1.03708577098039,1.19180093552881,1.78175275944811,0.289870543522815,129.925530439313,4.15763847230554
"55",12,12,0.0751522148916196,1,0.640780882695105,0.686321153297849,1.03551384180097,1.25772758432976,1.32522952409518,0.299029845785273,134.611749802001,3.56639472105579
"58",6,6,0.00397936535343249,1,0.821198046804643,0.841725536488263,0.977221603949289,1.01967045970588,1.64342941,0.28621725012081,134.506025461057,3.9081748
"61",13,13,0.391713257110608,1,0.579018900417195,0.61750149594193,1.3338098433651,2.29637238901409,1.95803606360636,0.303770441166467,130.170147673998,4.32949214921492
"64",12,12,0.190840092374563,1,0.569097714311039,0.73239032399888,1.24980737367853,1.9163415293662,1.33943026231606,0.322232891751194,128.91735726843,3.99046790360418
"67",9,9,0.0312684141652454,1,0.494914110060785,0.628259176512089,0.906670554189298,1.20768921563471,1.63662260226023,0.305565251693849,132.984577672102,3.63810941094109
"70",14,14,0.378905195198196,1,0.562423817815657,0.614588918183973,1.24914993027072,1.90386730369681,1.62341272,0.30194815174009,137.271881524478,4.1983556
"73",13,13,0.385103118375129,1,0.573272143651534,0.751314538727198,1.52048764963092,3.42727378701825,1.51319657764811,0.304452104489497,118.784447170852,3.95279667863555
"76",8,8,0.0530092689833791,1,0.620937651784331,0.655711950831324,0.983119557546269,1.14159595070026,1.71947477,0.28991491202057,132.850706819741,3.9295928
"79",9,9,0.181322072807319,1,0.709125059732189,0.534260290250798,1.18037023683132,1.83873211340291,1.6555281,0.25249488991105,135.655676298966,4.2922948
"82",13,13,0.41967825391996,1,0.550857358405176,0.634813022602789,1.211667132942,2.38586060984662,1.75978907,0.2899297061898,131.75439667475,3.6444708
"85",14,14,0.307675458608613,1,0.465144532000705,0.695128158499844,1.24570369531956,1.84339667927079,1.48569123737121,0.325740676448755,137.789248831521,4.19940902270681
"88",10,10,0.0412328959280191,1,0.676386679135969,0.661686437984983,0.960243226527483,1.21677815751451,1.71679118176365,0.304969873208748,134.697180494573,3.66274585082983
